TripID, TimeStamp, Start DT, Distance, ECC, AvgSpeed, TrackType, Sex, Year, Profession, Frequent User, ZIP, Source
5540b64188c53767397b23c6,1430304256,"Wed, 29 Apr 2015 10:44:16 GMT",0,0,0,urban bicycle,,,,yes,,cy-mobile
5539e42488c537a7627b23c6,1429857120,"Fri, 24 Apr 2015 06:32:00 GMT",2.39,0,14.35,urban bicycle,F,1984,Worker,yes,9400,cy-mobile
553e4b3b88c537d328a4ec8a,1430152991,"Mon, 27 Apr 2015 16:43:11 GMT",0.43,0,28.37,urban bicycle,,,Head of office,yes,,cy-mobile
55362dc788c537440c7b23c6,1429613950,"Tue, 21 Apr 2015 10:59:10 GMT",0,0,0,urban bicycle,M,1966,Worker,yes,17100,cy-mobile
553df79b88c5376374a4ec8a,1430131599,"Mon, 27 Apr 2015 10:46:39 GMT",0.03,0,4.53,urban bicycle,,,,yes,,cy-mobile
553b51b588c5374b1e7b23c6,1429904151,"Fri, 24 Apr 2015 19:35:51 GMT",0,0,0,urban bicycle,M,1963,Proptolog,yes,,cy-mobile
5537818688c537ca2e7b23c6,1429700553,"Wed, 22 Apr 2015 11:02:33 GMT",3.58,0,29.4,urban bicycle,M,1966,Worker,yes,17100,cy-mobile
5536749988c53703797b23c6,1429614026,"Tue, 21 Apr 2015 11:00:26 GMT",0,0,0,urban bicycle,M,1966,Worker,yes,17100,cy-mobile
5551eb2988c537df1b7661aa,1431431249,"Tue, 12 May 2015 11:47:29 GMT",2.46,2.4620253487929515,12.48,urban bicycle,F,1997,,yes,,cy-mobile
552e289688c5377b46359da9,1429095575,"Wed, 15 Apr 2015 10:59:35 GMT",0,0,0.04,urban bicycle,null,null,null,yes,null,cy-mobile
5548decf88c537d82da7a3ce,1430838760,"Tue, 05 May 2015 15:12:40 GMT",0.88,0.877786975356936,13.68,urban bicycle,M,1983,,no,,cy-mobile
553f24fa88c537b019a4ec8a,1430207419,"Tue, 28 Apr 2015 07:50:19 GMT",3.24,0,12.01,urban bicycle,F,1970,Librarian - bibliotekar,yes,,cy-mobile
554b5f7888c53746047b23c6,1431009447,"Thu, 07 May 2015 14:37:27 GMT",0.97,0.9663659010123197,9.16,urban bicycle,F,1958,Arbejder,yes,9400,cy-mobile
553ded7088c537925ea4ec8a,1430127203,"Mon, 27 Apr 2015 09:33:23 GMT",0.01,0,0.75,urban bicycle,,1959,,yes,,cy-mobile
5525376a88c537827033d013,1428507455,"Wed, 08 Apr 2015 15:37:35 GMT",3.43,0,5.84,urban bicycle,F,1984,Worker,yes,9400,cy-mobile
5548ea3f88c5372859a7a3ce,1430841887,"Tue, 05 May 2015 16:04:47 GMT",0,0,0,urban bicycle,M,1966,Worker,yes,17100,cy-mobile
55254fe288c537611433d013,1428498066,"Wed, 08 Apr 2015 13:01:06 GMT",44.28,0,42.39,other,null,null,,yes,null,cy-mobile
5526d3c588c5378d6933d013,1428603680,"Thu, 09 Apr 2015 18:21:20 GMT",2.11,0,1.78,urban bicycle,M,1980,Engineer,no,9270,cy-mobile
