Date,City,Country,Perpetrator,Weapon,Injuries,Fatalities,Description,longitude,latitude
1968-07-18,Copenhagen,Denmark,Other,Explosives,0,0,DENMARK.  A time bomb believed to have been planted by Croatian terrorists operating from Sweden was discovered at the Yugoslav embassy in Copenhagen and disarmed.,12.568337,55.676097
1969-04-01,Copenhagen,Denmark,Other,Explosives,0,0,DENMARK.  A time bomb believed to have been planted by Croatian terrorists was disarmed at the Yugoslav embassy in Copenhagen.,12.568337,55.676097
1969-08-18,Copenhagen,Denmark,Unknown,Explosives,0,0,DENMARK.  The Israel Tourist Office in Copenhagen was bombed.,12.568337,55.676097
1971-04-21,Copenhagen,Denmark,Unknown,Explosives,0,0,DENMARK.  A bomb destroyed the Greek embassy in Copenhagen.,12.568337,55.676097
1977-11-12,Copenhagen,Denmark,Ananda Marga,Fire or Firebomb,0,0,"DENMARK.  Two Molotov cocktails were thrown at the residence of the Indian ambassador in Copenhagen.  In letters received by the Indian Embassy and a Danish newspaper, the Universal Army claimed responsibility and demanded the release of Ananda Marga leader P. R. Sakar.",12.568337,55.676097
1981-01-21,Copenhagen,Denmark,Other,Unknown,1,0,DENMARK.  Danish police reported that the Copenhagen manager of Israel's El Al Airlines was badly beaten at his office by an intruder who painted swastikas over the office.  Zvi Kedan used a special signal to alert the police who took him to a hospital where he was too ill to tell what had happened.,12.568337,55.676097
1981-04-02,Copenhagen,Denmark,Justice Commandos for the Armenian Genocide,Firearms,1,0,"DENMARK.  Cavit Demir, the labor adviser at the Turkish Embassy in Copenhagen, was seriously wounded by an unidentified number of terrorists as he entered his apartment building elevator.  Callers to the Associated Press stated that the Commandos of Retribution for the Armenian Genocide were responsible for the attack.  Demir survived the six bullet wounds he received from the attackers.",12.568337,55.676097
1981-08-11,Copenhagen,Denmark,Ninth of June Organization,Explosives,1,0,DENMARK.  The Ninth of June Organization claimed responsibility for two bombs that destroyed a Swissair office in Copenhagen.  One American tourist was injured by flying glass.  The bombing was apparently in retaliation for the recent arrest in Switzerland of an Armenian accused of assassinating a Turkish national.,12.568337,55.676097
1981-09-15,Copenhagen,Denmark,Armenian Secret Army for the Liberation of Armenia,Explosives,2,0,"DENMARK.  A group calling itself the Sixth Armenian Liberation Army called the Danish media and claimed responsibility for an explosion during the night at the Turkish Airlines Office in Copenhagen.  Two people were injured in the attack, one of them seriously.  The offices were severely damaged.  A man was seen shortly before the explosion placing two plastic bags outside the building.  Only one of the bags containing explosives went off.  The second bomb was detonated by army experts. (ASALA claimed in Armenia, in name of Martyr Hagop Darakjian Commando, with one death.)",12.568337,55.676097
1985-07-22,Copenhagen,Denmark,Hizballah,Explosives,20,1,"DENMARK.  A bomb exploded in Scandinavia's oldest synagogue in Copenhagen, injuring twenty people.  An Algerian citizen on a tour of Copenhagen died after being burned in the explosion.  Islamic Jihad claimed responsibility.",12.568337,55.676097
1985-07-22,Copenhagen,Denmark,Hizballah,Explosives,0,0,"DENMARK.  A bomb went off in the American Airlines offices in Copenhagen. A spokesman for Islamic Jihad said that this blast, and the others in Copenhagen on this same day, had been carried out by its Scandinavian cells as reprisal for the barbaric militaristic Israeli aggression against the village of Kabrikha in South Lebanon.  He added that the organization will reach the core of the USA, USSR, France, UK and also the Arab states which served as puppets of the west.",12.568337,55.676097
1985-07-22,Copenhagen,Denmark,Hizballah,Explosives,0,0,DENMARK.  A bomb exploded in a Jewish rest home in Copenhagen. Islamic Jihad claimed responsibility.  A U.S. Northwest Orient Airlines office was also bombed during this attack.,12.568337,55.676097
1985-07-22,Copenhagen,Denmark,Hizballah,Explosives,22,0,DENMARK.  A U.S. Northwest Orient Airlines office was bombed by Islamic Jihad in Copenhagen.  Twenty two people were injured in the attack.  A synagogue and a Jewish rest home were also bombed.,12.568337,55.676097
1985-09-15,Copenhagen,Denmark,Unknown,Explosives,0,0,"DENMARK.  Coinciding with the Jewish New Year, a bomb exploded at a Jewish-owned snack shop in Copenhagen.  No one claimed responsibility.",12.568337,55.676097
1985-09-15,Copenhagen,Denmark,Unknown,Explosives,12,0,"DENMARK.  Coinciding with the Jewish New Year, a bomb exploded at an Israeli travel agency in Copenhagen.  No one claimed responsibility for the blast.  Twelve people were injured.",12.568337,55.676097
