Count,City,Country,Date,latitude,longitude
1,Abu Dhabi,United Arab Emirates,1977-10-26,24.299174,54.697277
18,Adana,Turkey,2006-08-25,36.991419,35.330829
16,Addis Ababa,Ethiopia,2008-09-03,8.980603,38.757761
13,Afula,Israel,2003-05-19,32.610493,35.287922
15,Ahvaz,Iran,2006-03-02,31.318327,48.670619
1,Al-Alamein,Egypt,1977-03-09,30.82247,28.954309
1,Alayh,Lebanon,1982-10-04,33.589722,35.978889
1,Albany,United States,1981-09-22,42.652579,-73.756232
1,Aleppo,Cyprus,1977-11-03,,
4,Alexandria,Egypt,1988-01-10,31.200092,29.918739
70,Algiers,Algeria,2008-08-20,36.75377,3.058793
1,Alhambra,United States,1980-07-30,34.095287,-118.127015
1,Ammam,Jordan,1977-11-06,31.945367,35.928372
65,Amman,Jordan,2008-07-16,31.945367,35.928372
23,Amsterdam,Netherlands,2004-11-02,52.370216,4.895168
2,Anaheim,United States,1983-01-21,33.835293,-117.914504
8,Anglet,France,2009-02-25,43.481402,-1.514699
99,Ankara,Turkey,2005-11-20,39.933364,32.859742
4,Antalya,Turkey,2006-08-28,36.896891,30.713323
2,Antofagasta,Chile,1985-07-07,-23.650928,-70.397502
9,Antwerp,Belgium,2003-06-04,51.219448,4.402464
3,Arequipa,Peru,1989-12-23,-16.409047,-71.537451
1,Arhus,Denmark,1980-11-19,56.162939,10.203921
1,Arica,Chile,1977-07-05,-18.478253,-70.312599
1,Ash Shariqah,United Arab Emirates,1977-12-14,25.075397,55.75784
12,Asmara,Ethiopia,1988-02-17,11.245278,41.543889
1,Assen,Netherlands,1978-03-12,52.992753,6.564228
6,Asuncion,Paraguay,2004-12-03,-25.26374,-57.575926
434,Athens,Greece,2009-12-27,37.98381,23.727539
1,Avrainville,France,1973-08-02,48.56214,2.246488
1,Axum,Ethiopia,1976-06-01,14.134032,38.74729
1,Bad Hersfeld,Federal Republic of Germany,1976-12-19,50.870135,9.701968
4102,Baghdad,Iraq,2008-12-25,33.312806,44.361488
1,Baku,USSR,1980-07-05,40.409262,49.867092
1,Balabakk,Lebanon,1983-01-02,,
1,Baltimore,United States,1979-11-16,39.290385,-76.612189
1,Bamberg,Federal Republic of Germany,1982-06-01,49.898814,10.902764
60,Bangkok,Thailand,2008-12-05,13.756331,100.501765
1,Baniyas,Israel,1968-09-13,32.291422,34.851011
63,Barcelona,Spain,2005-10-08,41.385064,2.173403
15,Barranquilla,Colombia,2006-01-20,11.004107,-74.806981
68,Bastia,France,2008-02-05,42.697283,9.450881
2,Bat Yam,Israel,1985-04-30,32.013186,34.748019
19,Bayonne,France,2008-04-23,43.492949,-1.474841
4,Beersheba,Israel,2009-01-03,31.252973,34.791462
1,Beilen,Netherlands,1975-12-02,52.859935,6.514632
393,Beirut,Lebanon,2006-11-21,33.893791,35.501777
2,Beit Shean,Israel,2001-08-10,32.497103,35.497336
5,Belgrade,Yugoslavia,1994-11-15,44.829568,20.420127
2,Bello Monte,Venezuela,1974-03-14,8.666667,-64.883333
1,Ben Gardan,Tunisia,1982-09-27,33.143189,11.218378
3,Berkeley,United States,1989-02-28,37.871593,-122.272747
25,Berlin,Federal Republic of Germany,1996-07-23,52.520007,13.404954
7,Bern,Switzerland,2003-05-26,46.947974,7.447447
1,Besancon,France,1976-02-22,47.237829,6.024054
1,Bet Shean,Israel,1968-12-29,32.497103,35.497336
2,Bethesda,United States,1980-07-23,38.984652,-77.094709
6,Biarritz,France,2007-04-11,43.483152,-1.558626
1,Bielefeld,Federal Republic of Germany,1980-02-16,52.030229,8.532471
128,Bilbao,Spain,2008-12-31,43.263013,-2.934985
169,Bogota,Colombia,2008-10-23,4.710989,-74.072092
8,Bologna,Italy,2005-11-02,44.494887,11.342616
1,Bolzano,Italy,1977-10-22,46.498295,11.354758
10,Bombay,India,1993-03-12,19.075984,72.877656
18,Bonn,Federal Republic of Germany,1996-02-02,50.73743,7.098207
3,Bordeaux,France,2004-10-28,44.837789,-0.57918
2,Boston,United States,1986-01-06,42.360083,-71.05888
1,Bovensmilde,Netherlands,1977-05-23,52.977867,6.478378
8,Bremen,Federal Republic of Germany,1996-07-23,53.079296,8.801694
1,Bridgetown,Barbados,1976-07-10,13.113222,-59.598809
1,Brisbane,Australia,1972-12-08,-27.469771,153.025124
85,Brussels,Belgium,2004-01-05,50.85034,4.35171
12,Bucaramanga,Colombia,2007-06-13,7.119349,-73.122742
1,Buedingen,Federal Republic of Germany,1981-01-02,50.286296,9.111384
111,Buenos Aires,Argentina,2005-11-04,-34.603684,-58.381559
4,Buga,Colombia,2004-11-02,3.900508,-76.302189
1,Burgas,Bulgaria,1982-09-09,42.504793,27.462636
53,Cairo,Egypt,2005-04-30,30.04442,31.235712
4,Calcutta,India,2002-01-22,22.572646,88.363895
67,Cali,Colombia,2009-08-13,3.451647,-76.531985
13,Calvi,France,2006-08-05,42.567651,8.757222
1,Cambridge,United States,1982-03-22,42.373616,-71.109733
7,Canberra,Australia,1988-08-14,-35.3075,149.124417
